March 2025	BBSRC Connecting Research Culture Conference	Norwich
May 2025	AI-Bio 2nd AGM	Manchester
June 2025	ELIXIR All Hands Meeting 2025	Thessaloniki, Greece
June 2025	UK Human Functional Genomics Innaugural Symposium	Exeter
July 2025	ISMB/ECCB 25	Liverpool
September 2025	BioFAIR Fellowship Selection Day	Birmingham
October 2025	RSECon25	Warwick
January 2026	Festival of Genomics	London
February 2026	AIBIO-UK EMBL-EBI workshop (facilitation)	Hinxton
March 2026	Scottish BioMedical Roundtable	Glasgow
March 2026	UKRI DRI Retreat	Manchester
April 2026	ISCB-UK	Cambridge