City: Manchester		
No.	Institution	Date
1	ELIXIR-UK	23-Apr-24
2		23-Apr-24
3	University of Manchester	23-Apr-24
4	University of Manchester	23-Apr-24
5	University of Manchester	23-Apr-24
6	University of Manchester	23-Apr-24
7	University of Manchester	23-Apr-24
8	University of Manchester	23-Apr-24
9	University of Manchester	23-Apr-24
10		23-Apr-24
11	N/a	23-Apr-24
12		23-Apr-24
13	Cancer Research UK Manchester Institute	23-Apr-24
14	The University of Manchester	23-Apr-24
15	The University of Manchester	23-Apr-24
16	Manchester	23-Apr-24
17	University of Manchester	23-Apr-24
18	UoM	23-Apr-24
19	University of Liverpool	23-Apr-24
20	Computational Biology Facility, University of Liverpool	23-Apr-24
21		23-Apr-24
22	University of Liverpool	23-Apr-24
23	University of Manchester	23-Apr-24
24	The University of Manchester	23-Apr-24
25	Innovate UK	23-Apr-24
26		23-Apr-24
27	University of Manchester	23-Apr-24
28	university of Manchester	23-Apr-24
29	University of Manchester	23-Apr-24
30	University of Manchester	23-Apr-24
31	University of Manchester	23-Apr-24
32	University of Manchester	23-Apr-24
33	BBSRC	23-Apr-24
34	STFC	23-Apr-24
35	Centre for Genomic Research, University of Liverpool	23-Apr-24
36	Manchester	23-Apr-24
37		23-Apr-24
38		23-Apr-24
39	Computer Science, The University of Manchester	23-Apr-24
40	Manchester institute of biotechnology	23-Apr-24
41	University of Manchester	23-Apr-24
42	University of Manchester	23-Apr-24
43	University of Manchester	23-Apr-24
44		23-Apr-24
45	University of Manchester	23-Apr-24
46	University of Liverpool	23-Apr-24
47	UoM	23-Apr-24
48	MIB	23-Apr-24
		
City: Bradford		
No.	Institution	
1	University of Essex	24-Apr-24
2	The University of Bradford	24-Apr-24
3	Teesside University	24-Apr-24
4	University of Bradford	24-Apr-24
5	University of Salford	24-Apr-24
6		24-Apr-24
7	University of Leeds	24-Apr-24
8	University of Bradford	24-Apr-24
9	University of Bradford	24-Apr-24
10		24-Apr-24
11	University of Bradford	24-Apr-24
12	UoB	24-Apr-24
13	University of Bradford	24-Apr-24
14		24-Apr-24
15	University of Bradford	24-Apr-24
16	University of Bradford	24-Apr-24
17	University of Bradford	24-Apr-24
18	University of bradford	24-Apr-24
19	University of Bradford	24-Apr-24
20	University of Bradford	24-Apr-24
21	University of Bradford	24-Apr-24
22	University of Bradford	24-Apr-24
23	University of Bradford	24-Apr-24
24	University of Bradford	24-Apr-24
25	University of Bradford	24-Apr-24
26	university of bradford	24-Apr-24
27	University of Bradford	24-Apr-24
28	University of Bradford	24-Apr-24
29	University of Bradford	24-Apr-24
30		24-Apr-24
31	University of Bradford	24-Apr-24
32	University of bradford	24-Apr-24
33	University of bradford	24-Apr-24
34	University of Bradford	24-Apr-24
35	University of Bradford	24-Apr-24
36		24-Apr-24
37	university of bradford	24-Apr-24
38	University Of Bradford	24-Apr-24
39	university of bradford	24-Apr-24
		
City: London		
No.	Institution	
1	Division of Biosciences/UCL	30-Apr-24
2	UCL	30-Apr-24
3	UCL	30-Apr-24
4	UCL	30-Apr-24
5	UCL School of Pharmacy	30-Apr-24
6	Queen Mary University of London	30-Apr-24
7	Queen Mary University of London	30-Apr-24
8	ucl	30-Apr-24
9	UCL	30-Apr-24
10	EMBL-EBI	30-Apr-24
11	Biosciences, UCL	30-Apr-24
12	UCL	30-Apr-24
13	Institute of Neurology, University College London	30-Apr-24
14	UCL	30-Apr-24
15	UCL Library Services - Research Data Management	30-Apr-24
16	UCL Structural & Molecular Biology	30-Apr-24
17	University College London ISMB	30-Apr-24
18	UCL	30-Apr-24
19	University College London	30-Apr-24
20	Sainsbury Wellcome Centre (UCL)	30-Apr-24
21	UCL	30-Apr-24
22	University of Westminster	30-Apr-24
23		30-Apr-24
24		30-Apr-24
25		30-Apr-24
26	ucl	30-Apr-24
27		30-Apr-24
		
City: Exeter		
No.	Institution	
1	University of Exeter	13-May-24
2	University of Exeter	13-May-24
3	University of Exeter	13-May-24
4	University of Exeter	13-May-24
5	University of Exeter	13-May-24
6	University of Exeter	13-May-24
7	University of Exeter	13-May-24
		
City: Cardiff		
No.	Institution	
1	Wales Gene Park/Cardiff University	14-May-24
2	UK Dementia Research Institute	14-May-24
3	Cardiff University - School of Bioscience	14-May-24
4	Cardiff University	14-May-24
5	Centre for Neuropsychiatric Genetics and Genomics / Cardiff University	14-May-24
6	DTI	14-May-24
7		14-May-24
8	University of Cardiff	14-May-24
9	Cardiff University	14-May-24
10		14-May-24
11	Cardiff University	14-May-24
12	Centre for trials research, Cardiff uni	14-May-24
13	Cardiff University, School of Biosciences	14-May-24
14	Wales Gene Park	14-May-24
15	Cardiff University	14-May-24
16	Swansea University	14-May-24
17	Cardiff University	14-May-24
18	SIURI, Cardiff University	14-May-24
19		14-May-24
20		14-May-24
21	Welsh Government	14-May-24
22	Cardiff	14-May-24
23	Cardiff University	14-May-24
24	Cardiff University	14-May-24
25	Cardiff University	14-May-24
26	Cardiff University	14-May-24
27	Welsh Government	14-May-24
28	Cardiff University	14-May-24
29	Cardiff University	14-May-24
30	Cardiff University	14-May-24
31	Cardiff University	14-May-24
32	Cardiff University	14-May-24
33	CU	14-May-24
34	Cardiff University, UK-DRI	14-May-24
35	MRC	14-May-24
36	Cardiff University	14-May-24
37	Cardiff University Digital Transformation Innovation Institute	14-May-24
38	Cardiff University	14-May-24
39	School of Engineering, Cardiff University.	14-May-24
40	Cardiff university	14-May-24
41	Cardiff University	14-May-24
42	Cardiff University	14-May-24
43	Cardiff University	14-May-24
44	Cardiff University	14-May-24
45	Cardiff University	14-May-24
46		14-May-24
47	Cardiff university bioscience	14-May-24
48	Institute of Nephrology, Cardiff University	14-May-24
49	All Wales Medical Genomics Service	14-May-24
50	Cardiff University	14-May-24
51	Advanced Research Computing at Cardiff University	14-May-24
52	Cardiff University	14-May-24
53	Cardiff University	14-May-24
		
City: Edinburgh		
No.	Institution	
1	Usher Institute	22-May-24
2	Rancho BioSciences	22-May-24
3	Edinburgh Genomics	22-May-24
4	University of Edinburgh	22-May-24
5	University of Edinburgh	22-May-24
6	University of Dundee	22-May-24
7	The University of Edinburgh	22-May-24
8	Edinburgh Genomics	22-May-24
9	Roslin Institute	22-May-24
10	SRUC	22-May-24
11		22-May-24
12	University of Edinburgh	22-May-24
13	University of Edinburgh	22-May-24
14		22-May-24
15	University of Edinburgh	22-May-24
16	DRI	22-May-24
17	Edinburgh	22-May-24
18	OLS	22-May-24
19	Roslin Institute	22-May-24
20	Roslin	22-May-24
21	University of Edinburgh	22-May-24
22	The University of Edinburgh	22-May-24
23	University of Edinburgh	22-May-24
24	School of Biological Sciences / The University of Edinburgh	22-May-24
25	university of strathclyde	22-May-24
26	The University of Edinburgh	22-May-24
27	CIR/IRR	22-May-24
28	University of Dundee	22-May-24
29	Edinburgh Genomics/University of Edinburgh	22-May-24
30	The University of Edinburgh	22-May-24
31	BBSRC	22-May-24
32	University of Glasgow	22-May-24
33	University of Dundee/OME	22-May-24
34	University of Strathclyde	22-May-24
35	Edinburgh Genomics, The University of Edinburgh	22-May-24
36	Edinburgh	22-May-24
37	Edinburgh Genomics	22-May-24
38	University of Edinburgh	22-May-24
39	Centre for Ecology and Hydrology	22-May-24
40	University of Edinburgh	22-May-24
41	Edinburgh	22-May-24
42	UoE SBS	22-May-24
		
City: Belfast		
No.	Institution	
1	Queen's University Belfast	18-Jun-24
2	Queen's University Belfast	18-Jun-24
3	Queen's University Belfast	18-Jun-24
4	PGJCCR	18-Jun-24
5	Queen's University Belfast	18-Jun-24
6	Queen's University Belfast	18-Jun-24
7	ELIXIR (QUB Alumnus)	18-Jun-24
8	Queen’s University Belfast	18-Jun-24
9	QUB	18-Jun-24
10	Queen’s University Belfast	18-Jun-24
11	Queen's University Belfast	18-Jun-24
12		18-Jun-24
13	Queens university belfast	18-Jun-24
14	Queen's University Belfast	18-Jun-24
15	Queen's University Belfast	18-Jun-24
16	Queens University Belfast	18-Jun-24
17	Queens University Belfast	18-Jun-24
18	Queens University Belfast	18-Jun-24
19	Queens University Belfast	18-Jun-24
		
City: Birmingham		
No.	Institution	
1	University of Birmingham	24-Jun-24
2	University of Birmingham	24-Jun-24
3	University of Leicester	24-Jun-24
4	University of Birmingham	24-Jun-24
5	University of Leicester	24-Jun-24
6		24-Jun-24
7		24-Jun-24
8	University of Warwick	24-Jun-24
9	University of Leicester	24-Jun-24
10	University of Birmingham	24-Jun-24
11	University of Birmingham	24-Jun-24
12	University of Birmingham	24-Jun-24
13		24-Jun-24
14		24-Jun-24
15	University of Birmingham	24-Jun-24
16		24-Jun-24
17		24-Jun-24
18		24-Jun-24
19		24-Jun-24
		
City: Norwich		
No.	Institution	
1	UK Research and Innovation	11-Jul-24
2	BBSRC	11-Jul-24
3	Earlham Institute	11-Jul-24
4	EI	11-Jul-24
5	EI/Elixir-UK	11-Jul-24
6	NBIP	11-Jul-24
7	Earlham Institute	11-Jul-24
8	Earlham Institute	11-Jul-24
9	Earlham Institute	11-Jul-24
10	Earlham Institute	11-Jul-24
11	Earlham Institute	11-Jul-24
12	Quadram Institute Bioscience	11-Jul-24
13	Earlham Institute	11-Jul-24
14	Earlham Institute	11-Jul-24
15	EMBL-EBI	11-Jul-24
16	Earlham Institute	11-Jul-24
17	EMBL-EBI	11-Jul-24
18	BBSRC	11-Jul-24
19	EMBL-EBI	11-Jul-24
20	BBSRC	11-Jul-24
21	NBI Partnership	11-Jul-24
22	University of East Anglia	11-Jul-24
23	TSL	11-Jul-24
24		11-Jul-24
25	UEA	11-Jul-24
26	John Innes Centre	11-Jul-24
27	University Of Cambridge	11-Jul-24
28		11-Jul-24
29	Earlham Institute	11-Jul-24
30		11-Jul-24
31	NERC	11-Jul-24
32	EI	11-Jul-24
33	UEA	11-Jul-24